param_a,param_b,weight,CV_num,tn,fp,fn,tp,file_name
3.0,4.0,1.0,0.0,2.0,4.0,1.0,3.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_0_rule_3_var_per_rule_4.ftt
3.0,4.0,1.0,1.0,2.0,3.0,3.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_0_rule_10_var_per_rule_4.ftt
3.0,4.0,1.0,2.0,1.0,2.0,3.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_2_rule_10_var_per_rule_4.ftt
3.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_4_rule_5_var_per_rule_4.ftt
3.0,4.0,1.0,4.0,0.0,5.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_4_rule_7_var_per_rule_4.ftt
5.0,4.0,1.0,0.0,1.0,5.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_3_rule_5_var_per_rule_4.ftt
5.0,4.0,1.0,1.0,2.0,3.0,2.0,3.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_1_rule_7_var_per_rule_4.ftt
5.0,4.0,1.0,2.0,3.0,0.0,4.0,3.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_0_rule_7_var_per_rule_4.ftt
5.0,4.0,1.0,3.0,2.0,3.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_0_rule_5_var_per_rule_4.ftt
5.0,4.0,1.0,4.0,1.0,4.0,0.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_4_rule_3_var_per_rule_4.ftt
7.0,4.0,1.0,0.0,0.0,6.0,0.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_3_rule_3_var_per_rule_4.ftt
7.0,4.0,1.0,1.0,2.0,3.0,1.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_1_rule_5_var_per_rule_4.ftt
7.0,4.0,1.0,2.0,1.0,2.0,1.0,6.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_3_rule_10_var_per_rule_4.ftt
7.0,4.0,1.0,3.0,1.0,4.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_1_rule_10_var_per_rule_4.ftt
7.0,4.0,1.0,4.0,0.0,5.0,3.0,1.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_4_rule_10_var_per_rule_4.ftt
10.0,4.0,1.0,0.0,0.0,6.0,2.0,2.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_2_rule_7_var_per_rule_4.ftt
10.0,4.0,1.0,1.0,3.0,2.0,1.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_2_rule_5_var_per_rule_4.ftt
10.0,4.0,1.0,2.0,1.0,2.0,2.0,5.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_3_rule_7_var_per_rule_4.ftt
10.0,4.0,1.0,3.0,0.0,5.0,0.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_2_rule_3_var_per_rule_4.ftt
10.0,4.0,1.0,4.0,1.0,4.0,0.0,4.0,exps_lab_lfa_number_of_rules_weigh_actual_1.0_conf_A_CV_1_rule_3_var_per_rule_4.ftt
